"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"10740749","A","A",24.427493889,0.425894132,1.219679392,0.020094644,"N","N",-24.001599757,-1.199584748,"No Change in Rating","No Change in LT_Flag",0.0499305985928109,0.047182251386361,-0.00274834720644992
"10931330","A","A",10.716042212,0.185314933,0.227871823,0.003426915,"N","N",-10.530727279,-0.224444908,"No Change in Rating","No Change in LT_Flag",0.0212645507074268,0.0184923845289899,-0.0027721661784369
"16064045","NA","AAA",0,3460.336266,0,0,"NA","N",3460.336266,0,"Missing Asset ID","Missing Asset ID",0,0,0
"16627755","AAA","AAA",86.643743418,67.48697022,0,0,"N","N",-19.156773198,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"17737410","A","A",6.909605714,6.303312312,0.081900955,0.069336435,"N","N",-0.606293402,-0.01256452,"No Change in Rating","No Change in LT_Flag",0.0118532023953342,0.0109999999314646,-0.000853202463869641
"18041120","A","A",11.923952504,0.208856991,1.426645106,0.025270733,"N","N",-11.715095513,-1.401374373,"No Change in Rating","No Change in LT_Flag",0.119645319412453,0.120995389615663,0.0013500702032098
"18126309","AAA","AAA",4.387080604,3.901033316,0,0,"N","N",-0.486047288,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"20081374","A","A",14.834922033,0.261286205,1.834633227,0.032708741,"N","N",-14.573635828,-1.801924486,"No Change in Rating","No Change in LT_Flag",0.123669893439203,0.12518357408115,0.00151368064194647
"20394611","A","A",41.953304662,0.729917319,1.689215116,0.027370822,"N","N",-41.223387343,-1.661844294,"No Change in Rating","No Change in LT_Flag",0.0402641729801571,0.0374985238567822,-0.00276564912337492
"20904570","A","A",11.062049952,0.193282741,0.643497268,0.010954552,"N","N",-10.868767211,-0.632542716,"No Change in Rating","No Change in LT_Flag",0.0581716111202026,0.056676307172196,-0.00149530394800663
"21227977","A","A",9867.539229,9691.012014,1661.297176,1619.7065115,"N","N",-176.527215,-41.5906645,"No Change in Rating","No Change in LT_Flag",0.16835982482011,0.167134919362406,-0.00122490545770343
"21755092","A","A",9.200070582,0.162112402,1.124665926,0.020083378,"N","N",-9.03795818,-1.104582548,"No Change in Rating","No Change in LT_Flag",0.122245358443273,0.123885512473006,0.00164015402973337
"21990923","NA","AAA",0,1642.509524,0,0,"NA","N",1642.509524,0,"Missing Asset ID","Missing Asset ID",0,0,0
"22185637","AAA","AAA",15246.11771,14953.941234,0,0,"N","N",-292.176475999999,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"22413270","NA","AAA",0,3459.114454,0,0,"NA","N",3459.114454,0,"Missing Asset ID","Missing Asset ID",0,0,0
"22433332","A","A",54.401126454,0.954285633,3.254035865,0.055676331,"N","N",-53.446840821,-3.198359534,"No Change in Rating","No Change in LT_Flag",0.059815597159583,0.058343465598418,-0.00147213156116509
"22927510","BBB","BBB",2533.455740612,2992.403139,151.855944465,176.33654088,"N","N",458.947398388,24.480596415,"No Change in Rating","No Change in LT_Flag",0.0599402397408042,0.0589280697449502,-0.001012169995854
"23045956","NA","AAA",0,115573.42717,0,0,"NA","N",115573.42717,0,"Missing Asset ID","Missing Asset ID",0,0,0
"23134853","A","A",8.973343102,8.25061472,0.098706774,0.090756762,"N","N",-0.722728382,-0.00795001200000001,"No Change in Rating","No Change in LT_Flag",0.0109999999864042,0.0110000000096962,2.32920713966189e-11
"23306339","NA","AAA",0,257032.27256,0,0,"NA","N",257032.27256,0,"Missing Asset ID","Missing Asset ID",0,0,0
"23552919","AAA","AAA",59162.22901,55973.19892,0,0,"N","N",-3189.03009000001,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"23848887","NA","AAA",0,170770.02094,0,0,"NA","N",170770.02094,0,"Missing Asset ID","Missing Asset ID",0,0,0
"23914622","A","A",10.560836741,0.184101229,0.468226126,0.007656401,"N","N",-10.376735512,-0.460569725,"No Change in Rating","No Change in LT_Flag",0.0443360822142265,0.0415879950480939,-0.00274808716613262
"23963922","AAA","AAA",10048.08224,8954.384585,0,0,"N","N",-1093.697655,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"24139040","AAA","AAA",6005.25846697,5814.934976,0,0,"N","N",-190.32349097,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"24139074","A","A",2.268750552,2.086118115,0.024956256,0.0229473,"N","N",-0.182632437000001,-0.002008956,"No Change in Rating","No Change in LT_Flag",0.0109999999682645,0.011000000352329,3.84064575281728e-10
"24139287","A","A",23.05208816,21.195002059,0.25357297,0.233145023,"N","N",-1.857086101,-0.020427947,"No Change in Rating","No Change in LT_Flag",0.0110000000104112,0.0110000000165605,6.14930328879382e-12
"24190431","AAA","AAA",8761.3944625,16227.414755,0,0,"N","N",7466.0202925,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"24306016","NA","AAA",0,127.83608117,0,0,"NA","N",127.83608117,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24343663","NA","AAA",0,14213.92127,0,0,"NA","N",14213.92127,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24359496","NA","AAA",0,3677.790726,0,0,"NA","N",3677.790726,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24394913","A","A",0.2842618538,0.015200534,0.035076889934,0.001888709,"N","N",-0.2690613198,-0.033188180934,"No Change in Rating","No Change in LT_Flag",0.123396401821397,0.124252805855373,0.000856404033976271
"24621131","NA","AAA",0,48000.53387,0,0,"NA","N",48000.53387,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24674941","NA","AAA",0,7690.226536,0,0,"NA","N",7690.226536,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24738794","NA","AAA",0,730460.6882,0,0,"NA","N",730460.6882,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24748747","NA","A",0,88.60171841,0,0.974618903,"NA","N",88.60171841,0.974618903,"Missing Asset ID","Missing Asset ID",0,0.0110000000055304,0.0110000000055304
"24909349","NA","AAA",0,315505.2526,0,0,"NA","N",315505.2526,0,"Missing Asset ID","Missing Asset ID",0,0,0
"24964907","NA","AAA",0,24562.474979,0,0,"NA","N",24562.474979,0,"Missing Asset ID","Missing Asset ID",0,0,0
"25010321","NA","AAA",0,365672.6824,0,0,"NA","N",365672.6824,0,"Missing Asset ID","Missing Asset ID",0,0,0
"25200623","NA","AAA",0,88628.30664,0,0,"NA","N",88628.30664,0,"Missing Asset ID","Missing Asset ID",0,0,0
"25428265","NA","A",0,89.14100779,0,0.980551086,"NA","N",89.14100779,0.980551086,"Missing Asset ID","Missing Asset ID",0,0.0110000000034776,0.0110000000034776
"2983248","A","A",25.94970908,23.847959582,0.2854468,0.262327556,"N","N",-2.101749498,-0.023119244,"No Change in Rating","No Change in LT_Flag",0.0110000000046243,0.0110000000250755,2.04511945572916e-11
"ASH_USD","NR","NR",13016.827121556,-13172.01127,390.504813647,-395.1603381,"Y","Y",-26188.838391556,-785.665151747,"No Change in Rating","No Change in LT_Flag",0.0300000000000246,0.03,-2.45845011015433e-14
"10364122","BB","NA",11.943615005,0,0.298590376,0,"N","NA",-11.943615005,-0.298590376,"Missing Asset ID","Missing Asset ID",0.0250000000732609,0,-0.0250000000732609
"11064207","AAA","NA",25672.29743,0,0,0,"N","NA",-25672.29743,0,"Missing Asset ID","Missing Asset ID",0,0,0
"11257501","A","NA",250.02424118,0,14.91423857,0,"N","NA",-250.02424118,-14.91423857,"Missing Asset ID","Missing Asset ID",0.0596511702209819,0,-0.0596511702209819
"14203282","BB","NA",76.56674724,0,2.889333185,0,"N","NA",-76.56674724,-2.889333185,"Missing Asset ID","Missing Asset ID",0.037736135974842,0,-0.037736135974842
"14381795","BB","NA",57.51872131,0,2.34558129,0,"N","NA",-57.51872131,-2.34558129,"Missing Asset ID","Missing Asset ID",0.0407794407903885,0,-0.0407794407903885
"15498571","BBB","NA",949.980520528,0,34.722290856,0,"N","NA",-949.980520528,-34.722290856,"Missing Asset ID","Missing Asset ID",0.0365505293063286,0,-0.0365505293063286
"17490488","AAA","NA",231.71532828,0,0,0,"N","NA",-231.71532828,0,"Missing Asset ID","Missing Asset ID",0,0,0
"17595066","BB","NA",109.72402625,0,13.860973374,0,"N","NA",-109.72402625,-13.860973374,"Missing Asset ID","Missing Asset ID",0.126325781578763,0,-0.126325781578763
"17691130","BB","NA",235.69691715,0,23.860768336,0,"N","NA",-235.69691715,-23.860768336,"Missing Asset ID","Missing Asset ID",0.101234961511248,0,-0.101234961511248
"18092433","BB","NA",32.83350213,0,2.954723861,0,"N","NA",-32.83350213,-2.954723861,"Missing Asset ID","Missing Asset ID",0.0899911270293724,0,-0.0899911270293724
