"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"10177835","BBB","BBB",908.4055256,1080.985605,94.77595568,105.99814622,"N","N",172.5800794,11.22219054,"No Change in Rating","No Change in LT_Flag",0.104332209579417,0.0980569451893858,-0.00627526439003161
"10211113","A","A",82051.1326,78474.2339,4908.255512,4502.009073,"N","N",-3576.89869999999,-406.246439,"No Change in Rating","No Change in LT_Flag",0.0598194730099314,0.0573692643974954,-0.00245020861243592
"10318069","NA","BBB",0,1868.0980097,0,66.9009288,"NA","N",1868.0980097,66.9009288,"Missing Asset ID","Missing Asset ID",0,0.0358123227221594,0.0358123227221594
"10331465","BB","BB",16175.97333,15794.824808,3050.942079,2849.3079953,"N","N",-381.148522,-201.6340837,"No Change in Rating","No Change in LT_Flag",0.18860948993664,0.180395036344869,-0.00821445359177139
"10407144","BB","BB",14953.86622,14609.783452,2896.73754,2662.5512677,"N","N",-344.082768,-234.1862723,"No Change in Rating","No Change in LT_Flag",0.193711612594592,0.182244403310133,-0.011467209284459
"10483612","BB","BB",9726.978561,9545.709227,787.5686836,664.5543141,"N","N",-181.269334000001,-123.0143695,"No Change in Rating","No Change in LT_Flag",0.0809674534246154,0.0696181182871474,-0.011349335137468
"10489625","BBB","BBB",7791.664954,7285.577474,993.0638597,907.4349522,"N","N",-506.08748,-85.6289075,"No Change in Rating","No Change in LT_Flag",0.127452074179626,0.124552234251624,-0.0028998399280024
"10497884","BB","BB",246.7257421,241.59562919,48.71448768,45.01467451,"N","N",-5.13011290999998,-3.69981317,"No Change in Rating","No Change in LT_Flag",0.197443879448362,0.186322387788724,-0.0111214916596376
"10504442","BB","BBB",643.5159242,619.3687429,53.49519304,24.701907243,"N","N",-24.1471812999999,-28.793285797,"Change in Rating","No Change in LT_Flag",0.0831295559725327,0.0398823923973642,-0.0432471635751685
"10560235","BBB","BBB",8.574821031,7.627522745,0.214370526,0.190688068,"N","N",-0.947298286000001,-0.023682458,"No Change in Rating","No Change in LT_Flag",0.0250000000262396,0.0249999999180599,-1.08179718655288e-10
"10566104","BBB","BBB",306.7711579,1809.9114961,7.669278947,45.2477874,"N","N",1503.1403382,37.578508453,"No Change in Rating","No Change in LT_Flag",0.0249999999983701,0.0249999999986187,2.48596282448332e-13
"10567183","BBB","BBB",999.8131894,1040.051078,44.10365602,39.32478326,"N","N",40.2378885999999,-4.77887276,"No Change in Rating","No Change in LT_Flag",0.0441118965898691,0.0378104345948286,-0.00630146199504046
"10572226","BBB","BBB",12.81297559,11.389834149,0.32032439,0.284745854,"N","N",-1.423141441,-0.035578536,"No Change in Rating","No Change in LT_Flag",0.0250000000195115,0.0250000000241443,4.63286700669308e-12
"10572264","A","A",68972.60144,67630.15109,4362.010892,4037.768665,"N","N",-1342.45035,-324.242227000001,"No Change in Rating","No Change in LT_Flag",0.0632426615921477,0.0597036765395758,-0.00353898505257191
"10572489","BBB","BBB",2899.691213,2796.1793053,305.0691306,282.64800042,"N","N",-103.5119077,-22.42113018,"No Change in Rating","No Change in LT_Flag",0.10520745423937,0.101083646490143,-0.00412380774922631
"10578240","NA","BBB",0,331.4197014,0,13.293411986,"NA","N",331.4197014,13.293411986,"Missing Asset ID","Missing Asset ID",0,0.0401105061945482,0.0401105061945482
"10591784","NA","BBB",0,81.42952252,0,2.035738063,"NA","N",81.42952252,2.035738063,"Missing Asset ID","Missing Asset ID",0,0.025,0.025
"10596345","AA","AA",485.6818876,483.3852009,55.27427785,54.58494698,"N","N",-2.29668670000001,-0.689330869999999,"No Change in Rating","No Change in LT_Flag",0.113807575001691,0.112922255125664,-0.000885319876027593
"10604391","BB","BB",9670.011665,8911.628837,2466.798811,2212.5982022,"N","N",-758.382828,-254.2006088,"No Change in Rating","No Change in LT_Flag",0.255097811301348,0.248282131434106,-0.00681567986724199
"10616292","BBB","BBB",31.46559473,27.998530196,1.316196674,0.994725761,"N","N",-3.467064534,-0.321470913,"No Change in Rating","No Change in LT_Flag",0.0418297090931864,0.0355277849957321,-0.00630192409745436
"10654400","BBB","BBB",4.033084373,3.586535427,0.100827109,0.089663386,"N","N",-0.446548946,-0.011163723,"No Change in Rating","No Change in LT_Flag",0.0249999999194165,0.0250000000906167,1.71200185972165e-10
"10657982","A","A",1532.029089,1436.8384913,105.6643678,97.48860864,"N","N",-95.1905977000001,-8.17575916,"No Change in Rating","No Change in LT_Flag",0.0689702098730842,0.0678493854600149,-0.00112082441306927
"10660661","BBB","BBB",10.46390504,46.87124935,0.505212043,1.967605694,"N","N",36.40734431,1.462393651,"No Change in Rating","No Change in LT_Flag",0.0482814055621437,0.0419789470365377,-0.00630245852560609
