"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"12488134","AAA","AAA",718.479049735,678.3885938,7.18479049735,6.783885938,"N","N",-40.090455935,-0.400904559350001,"No Change in Rating","No Change in LT_Flag",0.01,0.01,-1.73472347597681e-18
"13321999","AAA","AAA",4728.626393847,3986.35678,186.0544917222,111.43166913,"N","N",-742.269613847,-74.6228225922,"No Change in Rating","No Change in LT_Flag",0.0393464139954678,0.0279532604028483,-0.0113931535926195
"14071393","NA","BBB",0,9948.411441,0,278.55552037,"NA","N",9948.411441,278.55552037,"Missing Asset ID","Missing Asset ID",0,0.0280000000022114,0.0280000000022114
"14504601","AAA","AAA",424.611516352,375.8543102,4.24611516352,3.758543102,"N","N",-48.757206152,-0.48757206152,"No Change in Rating","No Change in LT_Flag",0.01,0.01,1.73472347597681e-18
"14504604","AAA","AAA",65.1394478525,56.79742815,0.651394478525,0.567974282,"N","N",-8.3420197025,-0.083420196525,"No Change in Rating","No Change in LT_Flag",0.01,0.0100000000088032,8.80321510132731e-12
"15341920","AAA","AAA",1792.528971,4208.376969,73.1098455,162.46446463,"N","N",2415.847998,89.35461913,"No Change in Rating","No Change in LT_Flag",0.0407858654910409,0.038605017047369,-0.00218084844367195
"15510671","AAA","AAA",232.9275237969,175.71638146,2.329275237969,1.757163815,"N","N",-57.2111423369,-0.572111422969,"No Change in Rating","No Change in LT_Flag",0.01,0.0100000000022764,2.27639782024447e-12
"16974047","AAA","AAA",3190.290447969,3017.5232464,31.9029044797,30.175232464,"N","N",-172.767201569,-1.7276720157,"No Change in Rating","No Change in LT_Flag",0.0100000000000031,0.01,-3.13464532109009e-15
"16974894","AAA","AAA",26.93486528233,21.555307419,0.2693486531233,0.215553074,"N","N",-5.37955786333,-0.0537955791233,"No Change in Rating","No Change in LT_Flag",0.010000000011138,0.00999999999118547,-1.99525135996526e-11
"16975229","AAA","AAA",170.5631932607,124.07014168,1.705631932607,1.240701417,"N","N",-46.4930515807,-0.464930515607,"No Change in Rating","No Change in LT_Flag",0.01,0.010000000001612,1.61199179005145e-12
"1921309","A","A",453.4679882,412.2310001,7.255487811,6.595696001,"N","N",-41.2369881,-0.65979181,"No Change in Rating","No Change in LT_Flag",0.015999999999559,0.0159999999985445,-1.01444547206953e-12
"1921342","AA","A",220.4568619,162.80453461,2.645482343,2.604872553,"N","N",-57.65232729,-0.04060979,"Change in Rating","No Change in LT_Flag",0.0120000000009072,0.0159999999953318,0.00399999999442462
"1921392","A","A",452.4982122,358.2800121,7.239971395,5.732480194,"N","N",-94.2182001,-1.507491201,"No Change in Rating","No Change in LT_Flag",0.015999999999558,0.0160000000011164,1.55843740690109e-12
"1921847","BBB","BBB",103.1642157,98.66100799,2.888598039,2.762508224,"N","N",-4.50320771,-0.126089815,"No Change in Rating","No Change in LT_Flag",0.027999999994184,0.028000000002838,8.65397337124207e-12
"1928008","A","A",2725.435432,1738.5705767,43.60696691,27.817129217,"N","N",-986.8648553,-15.789837693,"No Change in Rating","No Change in LT_Flag",0.0159999999992662,0.0159999999941331,-5.13305717375623e-12
"1928277","A","A",75.97517503,30.601759228,1.215602801,0.489628148,"N","N",-45.373415802,-0.725974653,"No Change in Rating","No Change in LT_Flag",0.0160000000068443,0.0160000000115026,4.65826682782833e-12
"1928377","A","A",476.4369312,291.91583953,7.622990899,4.670653432,"N","N",-184.52109167,-2.952337467,"No Change in Rating","No Change in LT_Flag",0.0159999999995802,0.0159999999983557,-1.22452742390422e-12
"1928752","BBB","BBB",310.5392279,252.8227378,8.695098381,7.079036657,"N","N",-57.7164901,-1.616061724,"No Change in Rating","No Change in LT_Flag",0.027999999999356,0.0279999999944625,-4.8934363505726e-12
"1928968","A","A",428.4169489,387.7269294,6.854671183,6.203630871,"N","N",-40.6900195,-0.651040312,"No Change in Rating","No Change in LT_Flag",0.0160000000014005,0.0160000000015475,1.46972711778659e-13
"1929090","BBB","BBB",485.9946901,432.3809539,13.60785132,12.106666709,"N","N",-53.6137362,-1.501184611,"No Change in Rating","No Change in LT_Flag",0.0279999999942386,0.0279999999995374,5.29882041022667e-12
"1929112","A","A",295.9320963,242.94470887,4.734913541,3.887115343,"N","N",-52.98738743,-0.847798198,"No Change in Rating","No Change in LT_Flag",0.0160000000006758,0.0160000000044455,3.76962697168359e-12
"22554149","A","A",2958.074263,2342.4101374,47.32918821,37.4785622,"N","N",-615.6641256,-9.85062601,"No Change in Rating","No Change in LT_Flag",0.0160000000006761,0.0160000000006831,6.93889390390723e-15
"22554243","A","A",412.9342534,333.7120961,6.606948055,5.339393536,"N","N",-79.2221573,-1.267554519,"No Change in Rating","No Change in LT_Flag",0.016000000001453,0.0159999999952055,-6.24756496536705e-12
"22554288","BBB","BBB",243.4378196,244.0911185,6.81625895,6.834551318,"N","N",0.653298899999982,0.0182923679999991,"No Change in Rating","No Change in LT_Flag",0.0280000000049294,0.028,-4.9293902293357e-12
"22554298","AAA","AAA",1010.951928,877.1702345,24.38323433,18.918228558,"N","N",-133.7816935,-5.465005772,"No Change in Rating","No Change in LT_Flag",0.0241190838601378,0.0215673398548272,-0.00255174400531058
"22554345","AAA","AAA",45.43822386,44.33894364,0.454382239,0.443389436,"N","N",-1.09928022,-0.010992803,"No Change in Rating","No Change in LT_Flag",0.0100000000088032,0.00999999999097859,-1.78245751492057e-11
"22554568","AA","AA",523.6341164,531.3743262,6.283609397,6.376491914,"N","N",7.7402098,0.0928825169999996,"No Change in Rating","No Change in LT_Flag",0.0120000000003819,0.0119999999992472,-1.13471038121205e-12
"22554600","AAA","AAA",502.5615439,432.5220776,17.86965243,14.087117562,"N","N",-70.0394663,-3.782534868,"No Change in Rating","No Change in LT_Flag",0.0355571424970704,0.0325697075168216,-0.00298743498024883
"3870714","AA","AA",274.073038,112.468541,3.288876456,1.349622492,"N","N",-161.604497,-1.939253964,"No Change in Rating","No Change in LT_Flag",0.012,0.012,0
"4122074","A","A",225.8354598,193.24005507,3.613367358,3.091840882,"N","N",-32.59540473,-0.521526476,"No Change in Rating","No Change in LT_Flag",0.0160000000053136,0.0160000000045539,-7.59683982387571e-13
"4165718","A","A",446.6179856,280.25457015,7.14588777,4.484073122,"N","N",-166.36341545,-2.661814648,"No Change in Rating","No Change in LT_Flag",0.0160000000008956,0.0159999999985727,-2.32289534829455e-12
"4172301","BBB","BBB",709.1160287,597.6109306,19.8552488,16.733106054,"N","N",-111.5050981,-3.122142746,"No Change in Rating","No Change in LT_Flag",0.0279999999949233,0.0279999999953147,3.91423005119407e-13
"4172303","AA","AA",214.5218384,178.75350673,2.574262061,2.145042081,"N","N",-35.76833167,-0.42921998,"No Change in Rating","No Change in LT_Flag",0.0120000000009323,0.0120000000013426,4.10326286837126e-13
"4279957","A","A",123.7984179,70.66146479,1.980774686,1.130583437,"N","N",-53.13695311,-0.850191249,"No Change in Rating","No Change in LT_Flag",0.0159999999967689,0.0160000000050947,8.32577756737507e-12
"4370375","AA","AA",1192.538188,999.6623224,14.31045826,11.995947868,"N","N",-192.8758656,-2.314510392,"No Change in Rating","No Change in LT_Flag",0.0120000000033542,0.0119999999991997,-4.15445976231776e-12
"4455214","AA","AA",349.51486,246.06651079,4.19417832,2.95279813,"N","N",-103.44834921,-1.24138019,"No Change in Rating","No Change in LT_Flag",0.012,0.0120000000021133,2.1132505467758e-12
