"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"13513713","ROYAL BANK OF CANADA EMTN COV VAR 08.12.2022_13513713","AAA","AAA",4.542655982,4.749401347,0.037370018,0.03324581,"N","N",0.206745365000001,-0.004124208,"No Change in Rating","No Change in LT_Flag",0.00822646886492758,0.00700000012022568,-0.0012264687447019
"14504605","ATHENE GLOBAL FUNDING REGS VAR 01.07.2022_14504605","A","A",440.5159893,446.3989235,6.167223851,6.249584928,"N","N",5.88293420000002,0.0823610770000007,"No Change in Rating","No Change in LT_Flag",0.0140000000018161,0.0139999999977599,-4.05619982046801e-12
"17809766","TORONTO-DOMINION BANK EMTN COV VAR 24.06.2022_17809766","AAA","AAA",9.10234455,9.495771058,0.063716412,0.066470398,"N","N",0.393426507999999,0.002753986,"No Change in Rating","No Change in LT_Flag",0.00700000001647927,0.00700000006255416,4.60748912980979e-11
"18946108","HEALTH AND HAPPINESS H&H FIX 5.625% 24.10.2024_18946108","BB","BB",1974.1354385,1683.7991573,88.83609473,75.77096209,"N","N",-290.3362812,-13.06513264,"No Change in Rating","No Change in LT_Flag",0.0449999999987336,0.0450000000068298,8.09616956809478e-12
"19428963","LU0003 CONSTELLATION OIL SA REGS 09.11.2 BB99 ZP2061171 LU0003_LXEUR_19428963_LU0003_LU0003_LXEUR","NR","NR",533.1099613,586.9814816,15.99329884,17.609444443,"N","N",53.8715203,1.616145603,"No Change in Rating","No Change in LT_Flag",0.0300000000018758,0.0299999999914818,-1.03939391815633e-11
"19671746","LLOYDS BANK PLC COV VAR 03.02.2023_19671746","AAA","AAA",16.773844622,17.505340529,0.155654549,0.131938677,"N","N",0.731495906999999,-0.023715872,"No Change in Rating","No Change in LT_Flag",0.00927959883423797,0.00753705286574834,-0.00174254596848963
"21834589","DEUT PFANDBRIEFBANK AG EMTN PF VAR 29.09.2023_21834589","AA","AA",7.118922292,7.418881499,0.12576817,0.113996861,"N","N",0.299959207,-0.011771309,"No Change in Rating","No Change in LT_Flag",0.0176667429199689,0.0153657746137832,-0.00230096830618573
"24394874","LU0003 REALKREDIT DANMARK SEC IO AO9120780__DKK LU0003_LXEUR_24394874_LU0003_LU0003_LXEUR","A","A",6.318452547,5.935234877,1.040696069,0.97291279,"N","N",-0.38321767,-0.067783279,"No Change in Rating","No Change in LT_Flag",0.164707428165164,0.163921531356778,-0.000785896808385672
"24394886","LU0003 NYKREDIT REALKREDIT IO **PARTIAL CALL** AO7057240_IE00B5ZR2157_DKK LU0003_LXEUR_24394886_LU0003_LU0003_LXEUR","NR","NR",12.616469905,11.861706975,4.59148073,4.305439178,"N","N",-0.754762930000002,-0.286041551999999,"No Change in Rating","No Change in LT_Flag",0.363927530012207,0.362969611968517,-0.000957918043690553
"24394902","LU0003 NYKREDIT REALKREDIT IO **PARTIAL CALL** AO8258144_IE00B5ZR2157_DKK LU0003_LXEUR_24394902_LU0003_LU0003_LXEUR","A","A",57.70303876,54.19588822,9.504307279,8.883291359,"N","N",-3.50715054,-0.62101592,"No Change in Rating","No Change in LT_Flag",0.164710689129052,0.163910799338496,-0.000799889790555647
"24728975","SOUTHERN CAL EDISON F MBS VAR 13.06.2022_24728975","A","A",4094.294251,3945.301971,57.32011951,55.2342276,"N","N",-148.99228,-2.08589191,"No Change in Rating","No Change in LT_Flag",0.013999999999023,0.0140000000015208,2.49776588301387e-12
