"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"1020413","LU0003 SAMI 2004-AR5 1A1 CMO VAR 19.10.2034 LU0003_LXEUR_1020413_LU0003_LU0003_LXEUR","AA","AA",245.12380777,278.61706084,32.84659023,37.33468616,"N","N",33.49325307,4.48809593,"No Change in Rating","No Change in LT_Flag",0.13399999995439,0.134000000026703,7.23129056634519e-11
"1028738","LU0003 WFMBS 2007-7 A1 CMO FIX 6.000% 25.06.2037 LU0003_LXEUR_1028738_LU0003_LU0003_LXEUR","CCC","CCC",5091.787149,5043.889147,5091.787149,5043.889147,"N","N",-47.8980019999999,-47.8980019999999,"No Change in Rating","No Change in LT_Flag",1,1,0
"1054503","LU0003 AHMA 2007-3 22A1 CMO STEP 6.750% 25.06.2037 LU0003_LXEUR_1054503_LU0003_LU0003_LXEUR","CC","CC",239.85299608,248.62689163,239.85299608,248.62689163,"N","N",8.77389555000002,8.77389555000002,"No Change in Rating","No Change in LT_Flag",1,1,0
"1105467","SLMA 2008-9 A ABS VAR 25.04.2023_1105467","B","B",213.85917242,251.40918964,213.85917242,251.40918964,"N","N",37.55001722,37.55001722,"No Change in Rating","No Change in LT_Flag",1,1,0
"11094842","SOFI 2016-C A2B ABS FIX 2.360% 27.12.2032_11094842","AAA","AAA",24.949489571,17.899216454,4.801903387,2.547589599,"N","N",-7.050273117,-2.254313788,"No Change in Rating","No Change in LT_Flag",0.192464995058716,0.142329671555577,-0.0501353235031389
"11100305","CGCMT 2013-375P A MBS FIX 3.251% 10.05.2035_11100305","AAA","AAA",339.2003385,408.3454005,66.10449343,67.42917372,"N","N",69.145062,1.32468029,"No Change in Rating","No Change in LT_Flag",0.194883335678039,0.165127790437791,-0.0297555452402477
"11248835","MSBAM 2016-C30 ASB MBS FIX 2.729% 15.09.2049_11248835","AAA","AAA",4657.159418,4418.699919,2232.2192532,1991.5145625,"N","N",-238.459498999999,-240.7046907,"No Change in Rating","No Change in LT_Flag",0.479309178159638,0.45070147305923,-0.0286077051004086
"11298582","LU0003 WMHE 2007-HE1 1A MBS VAR 25.01.2037 LU0003_LXEUR_11298582_LU0003_LU0003_LXEUR","CC","CC",1859.6485342,1983.8471138,1859.6485342,1983.8471138,"N","N",124.1985796,124.1985796,"No Change in Rating","No Change in LT_Flag",1,1,0
"11491329","HILT 2016-SFP A MBS FIX 2.828% 05.11.2035_11491329","NA","AAA",0,1704.7952195,0,381.9301741,"NA","N",1704.7952195,381.9301741,"Missing Asset ID","Missing Asset ID",0,0.224032874876325,0.224032874876325
"11578832","MSBAM 2016-C31 ASB MBS FIX 2.952% 15.11.2049_11578832","AAA","AAA",3668.145848,3668.390862,1819.0154567,1715.3671058,"N","N",0.245014000000083,-103.6483509,"No Change in Rating","No Change in LT_Flag",0.495895073989981,0.46760750703233,-0.0282875669576506
"11757687","SMB 2016-C A2A ABS FIX 2.340% 15.09.2034_11757687","AAA","AAA",460.1115539,428.3065354,294.87180609,262.50782842,"N","N",-31.8050185,-32.36397767,"No Change in Rating","No Change in LT_Flag",0.640870248944209,0.61289708823808,-0.0279731607061298
"12130969","NAVSL 2017-2A A ABS VAR 27.12.2066_12130969","AA","AA",1935.1480337,1929.4625206,259.30983649,258.54797778,"N","N",-5.68551309999998,-0.761858710000013,"No Change in Rating","No Change in LT_Flag",0.133999999986668,0.134000000010158,2.34905705998045e-11
"12488211","SOFI 2017-B A2FX ABS FIX 2.740% 25.05.2040_12488211","AAA","AAA",208.98542009,162.54171541,66.89572744,44.04551887,"N","N",-46.44370468,-22.85020857,"No Change in Rating","No Change in LT_Flag",0.320097581023553,0.270979783613691,-0.0491177974098615
"12573239","SLMA 2003-11 A6 ABS VAR 15.12.2025_12573239","AAA","AAA",243.29337557,209.06449079,30.411671947,26.133061346,"N","N",-34.22888478,-4.278610601,"No Change in Rating","No Change in LT_Flag",0.125000000003083,0.124999999986846,-1.62365537681453e-11
"12817903","IMM 2004-10 1A1 CMO VAR 25.03.2035_12817903","CCC","CCC",33.14116253,38.02027581,33.14116253,38.02027581,"N","N",4.87911328,4.87911328,"No Change in Rating","No Change in LT_Flag",1,1,0
"12994210","SOFI 2017-D A2FX ABS FIX 2.650% 25.09.2040_12994210","AAA","AAA",227.3455044,194.57140271,96.92607679,73.71226653,"N","N",-32.77410169,-23.21381026,"No Change in Rating","No Change in LT_Flag",0.426338216125289,0.378844298305568,-0.047493917819721
"13166841","JPALT 2006-A5 1A1 CMO VAR 25.10.2036_13166841","CCC","CCC",1844.2435336,1931.7818101,1844.2435336,1931.7818101,"N","N",87.5382765000002,87.5382765000002,"No Change in Rating","No Change in LT_Flag",1,1,0
"13245191","LU0003 WINDR 2015-2A A1R CDO VAR 15.10.2027 LU0003_LXEUR_13245191_LU0003_LU0003_LXEUR","AAA","AAA",62.48703571,8.929015659,7.810879464,1.116126957,"N","N",-53.558020051,-6.694752507,"No Change in Rating","No Change in LT_Flag",0.125000000004001,0.124999999958002,-4.59987464784817e-11
"13285034","CFLX 2006-1 A4 CMO FIX 6.300% 25.06.2036_13285034","CCC","CCC",105.79443783,110.77562584,105.79443783,110.77562584,"N","N",4.98118801000001,4.98118801000001,"No Change in Rating","No Change in LT_Flag",1,1,0
