"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"12488134","CCCIT 2017-A5 A5 ABS VAR 22.04.2026_12488134","AAA","AAA",678.3885938,688.3919671,6.783885938,6.883919671,"N","N",10.0033733,0.100033733000002,"No Change in Rating","No Change in LT_Flag",0.01,0.01,3.46944695195361e-18
"13321999","TPMT 2017-4 A1 MBS FIX 2.750% 25.06.2057_13321999","AAA","AAA",3986.35678,3713.639119,111.43166913,148.61660377,"N","N",-272.717661000001,37.18493464,"No Change in Rating","No Change in LT_Flag",0.0279532604028483,0.0400191292173859,0.0120658688145375
"14071393","CITM 2007-1 1A MBS VAR 25.10.2037_14071393","BBB","BBB",9948.411441,9156.938624,278.55552037,256.39428152,"N","N",-791.472817,-22.16123885,"No Change in Rating","No Change in LT_Flag",0.0280000000022114,0.0280000000052419,3.03051680972111e-12
"14504601","FN AL7183 MBS VAR 01.01.2036_14504601","AAA","AAA",375.8543102,348.7665906,3.758543102,3.487665906,"N","N",-27.0877196,-0.270877196,"No Change in Rating","No Change in LT_Flag",0.01,0.01,1.73472347597681e-18
"14504604","FN AL5548 MBS VAR 01.05.2038_14504604","AAA","AAA",56.79742815,53.2667845,0.567974282,0.532667845,"N","N",-3.53064365,-0.035306437,"No Change in Rating","No Change in LT_Flag",0.0100000000088032,0.01,-8.80321510132731e-12
"15341920","TPMT 2018-3 A1 MBS FIX 3.750% 25.05.2058_15341920","AAA","AAA",4208.376969,4710.503604,162.46446463,171.50379814,"N","N",502.126635000001,9.03933351000001,"No Change in Rating","No Change in LT_Flag",0.038605017047369,0.0364088030830429,-0.00219621396432606
"16974894","TPMT 2017-5 A1 MBS VAR 25.02.2057_16974894","AAA","AAA",21.555307419,18.973207751,0.215553074,0.189732078,"N","N",-2.582099668,-0.025820996,"No Change in Rating","No Change in LT_Flag",0.00999999999118547,0.0100000000258259,3.46404242096421e-11
"1921309","LU0003 AMSI 2004-R5 M1 MBS VAR 25.07.2034 LU0003_LXEUR_1921309_LU0003_LU0003_LXEUR","A","A",412.2310001,409.2957441,6.595696001,6.548731905,"N","N",-2.93525599999998,-0.046964096,"No Change in Rating","No Change in LT_Flag",0.0159999999985445,0.0159999999985341,-1.04395658784284e-14
"1921342","LU0003 ARC 2004-1 A5 MBS VAR 25.10.2034 LU0003_LXEUR_1921342_LU0003_LU0003_LXEUR","A","A",162.80453461,179.28095752,2.604872553,2.868495321,"N","N",16.47642291,0.263622768,"No Change in Rating","No Change in LT_Flag",0.0159999999953318,0.0160000000037929,8.46110681518297e-12
"1921392","LU0003 PPSI 2004-WHQ1 M2 MBS VAR 25.09.2034 LU0003_LXEUR_1921392_LU0003_LU0003_LXEUR","A","A",358.2800121,298.7702061,5.732480194,4.780323298,"N","N",-59.509806,-0.952156896,"No Change in Rating","No Change in LT_Flag",0.0160000000011164,0.0160000000013388,2.22374202385467e-13
"1921847","LU0003 SAIL 2004-8 M1 MBS VAR 25.09.2034 LU0003_LXEUR_1921847_LU0003_LU0003_LXEUR","BBB","BBB",98.66100799,104.36247536,2.762508224,2.92214931,"N","N",5.70146736999999,0.159641086,"No Change in Rating","No Change in LT_Flag",0.028000000002838,0.0279999999992334,-3.6045610940505e-12
