Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
19603895,EQT CORP STEP 6.625% 01.02.2025_19603895,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,46904.26397,2.961891321,2.961891321,Other Bond,1,2.961891321,0.045,0,0.133285109,6251.639957,0,0.054776305,342.4417368,0
20374630,SYNGENTA FINANCE NV EMTN FIX 3.375% 16.04.2026_20374630,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,40782.68775,4.000104685,4.000104685,Other Bond,1,4.000104685,0.025,0,0.100002617,4078.375508,0,0.054776305,223.3983406,0
13105590,WYNN MACAU LTD 144A FIX 5.500% 01.10.2027_13105590,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,1320.358137,0.96156412,1,Other Bond,1,1,0.075,0,0.075,99.02686027,0,0.054776305,5.424325498,0
11773266,BARCLAYS PLC VAR 10.01.2023_11773266,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,695.6611404,0.278350107,1,Other Bond,1,1,0.025,0,0.025,17.39152851,0,0.054776305,0.952643669,0
25428143_LU0003_LU0003_LXEUR,LU0003 FORD MOTOR CREDIT CO LLC SR UNSEC AQ1998519_IE00B0C18065_EUR LU0003_LXEUR_25428143_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,34148.71659,3.165331036,3.165331036,Other Bond,1,3.165331036,0.045,0,0.142439897,4864.139661,0,0.054776305,266.4395974,0
22270574,ABBVIE INC FIX 3.450% 15.03.2022_22270574,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,485.7045527,0.29315139,1,Other Bond,1,1,0.025,0,0.025,12.14261382,0,0.054776305,0.665127518,0
16636568,DEUTSCHE BANK AG EMTN FIX 2.625% 12.02.2026_16636568,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,3944.547646,4.137490941,4.137490941,Other Bond,1,4.137490941,0.025,0,0.103437274,408.0132539,0,0.054776305,22.34945842,0
14818854,DEUTSCHE BANK NY * FIX 4.250% 14.10.2021_14818854,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,4184.797235,0.038353927,1,Other Bond,1,1,0.025,0,0.025,104.6199309,0,0.054776305,5.730693238,0
19676193,CHEPLAPHARM ARZNEIMITTEL REGS FIX 3.500% 11.02.2027_19676193,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,139.0336518,1.352467286,1.352467286,Other Bond,1,1.352467286,0.075,0,0.101435046,14.10288493,0,0.054776305,0.772503926,0
17296778,TENCENT HOLDINGS LTD REGS FIX 3.975% 11.04.2029_17296778,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,113.0496409,6.38454244,6.38454244,Other Bond,2,1.38454244,0.007,0.07,0.079691797,9.009129044,0,0.054776305,0.4934868,0
16196303,CHAMPION SINCERITY HLDGS PERP FIX TO FLOAT 8.125% 08.08.2198_16196303,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,111.1157348,0.358906525,1,Other Bond,1,1,0.045,0,0.045,5.000208067,0,0.054776305,0.273892922,0
6842237,UNITED AIR 2014-1 A PTT A FIX 4.000% 11.04.2026_6842237,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,399.3642643,3.365815368,3.365815368,Other Bond,1,3.365815368,0.025,0,0.084145384,33.60465945,0,0.054776305,1.840739074,0
22554395_LU0003_LU0003_LXEUR,LU0003 CYRUSONE LP/CYRUSONE FIN SR UNSEC ZP5132813_IE00B0C18065_EUR LU0003_LXEUR_22554395_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,2127.880707,5.109205649,5.109205649,Other Bond,2,0.109205649,0.015,0.125,0.126638085,269.4707373,0,0.054776305,14.76061128,0
24139282_LU0003_LU0003_LXEUR,LU0003 FWD GROUP LTD SUB AZ5273562_IE00BGSXQQ02_USD LU0003_LXEUR_24139282_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,9.431884517,2.575900544,2.575900544,Other Bond,1,2.575900544,0.03,0,0.077277016,0.728867894,0,0.054776305,0.03992469,0
23914770_LU0003_LU0003_LXEUR,LU0003 PACIFIC NATIONAL FINANCE SR UNSEC AR6200521_IE00B464Q616_USD LU0003_LXEUR_23914770_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,759.1221171,5.690670014,5.690670014,Other Bond,2,0.690670014,0.015,0.125,0.13536005,102.7548079,0,0.054776305,5.628528693,0
25212139,CREDIT SUISSE NEW YORK FRN VAR 09.08.2023_25212139,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,624.8638724,1.849035552,1.849035552,Other Bond,1,1.849035552,0.014,0,0.025886498,16.17553721,0,0.054776305,0.886036159,0
14559425,SYNGENTA FINANCE NV 144A FIX 4.892% 24.04.2025_14559425,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,61674.75738,3.174892253,3.174892253,Other Bond,1,3.174892253,0.025,0,0.079372306,4895.267736,0,0.054776305,268.1446784,0
13627396,CHENIERE CORP CHRISTI HD FIX 5.125% 30.06.2027_13627396,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,18216.5086,4.667315917,4.667315917,Other Bond,1,4.667315917,0.025,0,0.116682898,2125.555013,0,0.054776305,116.4300496,0
13563455,STANDARD INDUSTRIES INC 144A FIX 4.750% 15.01.2028_13563455,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,11602.20525,1.259311693,1.259311693,Other Bond,1,1.259311693,0.075,0,0.094448377,1095.809455,0,0.054776305,60.0243929,0
22623392_LU0003_LU0003_LXEUR,LU0003 PEMEX GLBL CO GTD 71654QAZ5_IE00B0C18065_USD LU0003_LXEUR_22623392_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,6820.51087,10.39458409,10.39458409,Other Bond,3,0.394584089,0.018,0.35,0.357102514,2435.621576,0,0.054776305,133.4143502,0
23914813_LU0003_LU0003_LXEUR,LU0003 BANCA MONTE DEI PASCHI S BM8531113_IE00B0C18065_EUR LU0003_LXEUR_23914813_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,2612.304382,4.094932947,4.094932947,Other Bond,1,4.094932947,0.075,0,0.307119971,802.290846,0,0.054776305,43.94652805,0
19619422,LUMEN TECHNOLOGIES INC 144A FIX 4.000% 15.02.2027_19619422,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,741.5343539,1.349051678,1.349051678,Other Bond,1,1.349051678,0.045,0,0.060707326,45.01656741,0,0.054776305,2.465841225,0
5168869,PACIFIC GAS & ELECTRIC MBS FIX 3.250% 15.06.2023_5168869,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,450.2759985,1.431404022,1.431404022,Other Bond,1,1.431404022,0.025,0,0.035785101,16.11317188,0,0.054776305,0.882620017,0
24748864_LU0003_LU0003_LXEUR,LU0003 INEOS FINANCE PLC SR SEC REGS ZS0934399_IE00B0C18065_EUR LU0003_LXEUR_24748864_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,13038.77194,4.280312972,4.280312972,Other Bond,1,4.280312972,0.03,0,0.128409389,1674.30074,0,0.054776305,91.71200792,0
12187977,HYUNDAI CAPITAL SERVICES 144A FIX 3.000% 06.03.2022_12187977,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,256.3873983,0.430133449,1,Other Bond,1,1,0.025,0,0.025,6.409684959,0,0.054776305,0.351098858,0
14770812,CONTINENTAL RESOURCES FIX 4.375% 15.01.2028_14770812,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,18175.69731,5.311011674,5.311011674,Other Bond,2,0.311011674,0.025,0.225,0.232775292,4230.853246,0,0.054776305,231.7505077,0
16192998,HANA BANK REGS FIX 3.375% 30.01.2022_16192998,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,512.7873319,0.334247849,1,Other Bond,1,1,0.014,0,0.014,7.179022647,0,0.054776305,0.393240334,0
16606683,CELESTIAL MILES LTD PERP FIX TO FLOAT 5.750% 31.07.2198_16606683,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,1616.828986,2.202916206,2.202916206,Other Bond,1,2.202916206,0.03,0,0.066087486,106.8521633,0,0.054776305,5.852966681,0
19481694,SUNAC CHINA HOLDINGS LTD FIX 6.500% 10.01.2025_19481694,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,132.1667274,1.225484185,1.225484185,Other Bond,1,1.225484185,0.045,0,0.055146788,7.288570537,0,0.054776305,0.399240962,0
21704763,DAIMLER CANADA FINANCE EMTN VAR 11.09.2022_21704763,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,13.41554676,0.947472093,1,Other Bond,1,1,0.014,0,0.014,0.187817655,0,0.054776305,0.010287957,0
23455187,PACIFIC GAS & ELECTRIC FIX 1.367% 10.03.2023_23455187,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,12941.64594,0.08767256,1,Other Bond,1,1,0.025,0,0.025,323.5411484,0,0.054776305,17.72238862,0
25428226_LU0003_LU0003_LXEUR,LU0003 ABM INVESTAMA TBK PT BQ8041858_IE00BGSXQQ02_USD LU0003_LXEUR_25428226_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,97.37669808,3.915299826,3.915299826,Other Bond,1,3.915299826,0.075,0,0.293647487,28.59442268,0,0.054776305,1.566296817,0
12287386,JPMORGAN CHASE & CO VAR 25.04.2023_12287386,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,361.282406,0.565251313,1,Other Bond,1,1,0.014,0,0.014,5.057953683,0,0.054776305,0.277056013,0
24178485,FEDERAL HOME LOAN BANK FIX 0.625% 27.11.2024_24178485,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,5701.038009,0.076709829,1,Other Bond,1,1,0.011,0,0.011,62.7114181,0,0.054776305,3.435099762,0
15690041,UKRAINE GOVERNMENT REGS FIX 8.994% 01.02.2024_15690041,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,12251.93534,2.142885074,2.142885074,Other Bond,1,2.142885074,0.075,0,0.160716381,1969.086703,0,0.054776305,107.8592937,0
25094521_LU0003_LU0003_LXEUR,LU0003 PURE FINANCE SA PPEG35LU5_IE00B5ZR2157_EUR LU0003_LXEUR_25094521_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,0.056803251,0.263014374,1,Other Bond,1,1,0.03,0,0.03,0.001704098,0,0.054776305,9.33442E-05,0
12057776,MITSUBISHI UFJ FIN GRP VAR 22.02.2022_12057776,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,428.3446121,0.396597432,1,Other Bond,1,1,0.014,0,0.014,5.996824569,0,0.054776305,0.328483891,0
3883655,PT PERTAMINA (PERSERO) REGS FIX 4.875% 03.05.2022_3883655,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,2451.740871,0.577367157,1,Other Bond,1,1,0.025,0,0.025,61.29352178,0,0.054776305,3.357432641,0
