Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
1921659_LU0003_LU0003_LXEUR,LU0003 HEAT 2004-1 M1 MBS VAR 25.06.2034 LU0003_LXEUR_1921659_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,181.5935409,0.068493399,1,Other Securitization,1,181.5935409,0,0.054776305,9.947023174,0
22554082_LU0003_LU0003_LXEUR,LU0003 CONTE 2X AR 3MEUR+91BP CMKI53080_IE00BMTRWY37_EUR LU0003_LXEUR_22554082_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,83.12935967,0.134761538,1,Other Securitization,1,83.12935967,0,0.054776305,4.553519157,0
1929086,PPSI 2005-WCW1 M3 MBS VAR 25.09.2035_1929086,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,198.7312854,0.068490565,1,Other Securitization,1,198.7312854,0,0.054776305,10.8857655,0
22062048_LU0003_LU0003_LXEUR,LU0003 CBAM 2018-8A A1 CDO VAR 20.10.2029 LU0003_LXEUR_22062048_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,4773.346605,0.054795736,1,Other Securitization,0.125,596.6683257,0,0.054776305,32.68328617,0
16974079_LU0003_LU0003_LXEUR,LU0003 LCM 20A AR CDO VAR 20.10.2027 LU0003_LXEUR_16974079_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,682.1865904,0.054790472,1,Other Securitization,0.125,85.27332381,0,0.054776305,4.67095759,0
24748876_LU0003_LU0003_LXEUR,LU0003 CGMSE 2017-3A A1R 3MEUR + 70BP 144A CX35030M7_IE00BMTRWY37_EUR LU0003_LXEUR_24748876_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,2283.336789,9.006845724,9.006845724,Other Securitization,1,2283.336789,0,0.054776305,125.0727523,0
24395214_LU0003_LU0003_LXEUR,LU0003 BLUME 3X A1R 3MEUR + 72BP CX27RT0M8_IE00B0C18065_EUR LU0003_LXEUR_24395214_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,5552.931615,8.998227316,8.998227316,Other Securitization,1,5552.931615,0,0.054776305,304.1690756,0
19914484_LU0003_LU0003_LXEUR,LU0003 MVEW 2017-1A AR CDO VAR 16.10.2029 LU0003_LXEUR_19914484_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,516.4827595,0.04383743,1,Other Securitization,0.125,64.56034493,0,0.054776305,3.536377143,0
22554521_LU0003_LU0003_LXEUR,LU0003 DKFLD 2 A 3MGBP+125BP CM5J07073_IE00BMTRWY37_GBP LU0003_LXEUR_22554521_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,294.4089324,25.98532445,25.98532445,Other Securitization,1,294.4089324,0,0.054776305,16.12663347,0
6604678_LU0003_LU0003_LXEUR,LU0003 POPLR 2006-A M1 MBS VAR 25.02.2036 LU0003_LXEUR_6604678_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,211.1983252,0.06849264,1,Other Securitization,1,211.1983252,0,0.054776305,11.56866387,0
6243552_LU0003_LU0003_LXEUR,LU0003 SAMI 2006-AR6 1A1 CMO VAR 25.07.2046 LU0003_LXEUR_6243552_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,91.24652194,0.068490487,1,Other Securitization,1,91.24652194,0,0.054776305,4.998147313,0
19863503,FNR 2019-66 FA CMO VAR 25.11.2059_19863503,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,225.3400671,0.087809434,1,Other Securitization,0.125,28.16750838,0,0.054776305,1.542912029,0
20113247,GNR 2020-17 EU CMO FIX 2.500% 20.10.2049_20113247,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,353.8608863,3.188628008,3.188628008,Other Securitization,1,353.8608863,0,0.054776305,19.38319182,0
23364750_LU0003_LU0003_LXEUR,LU0003 VENTR 2017-29A AR CDO VAR 07.09.2030 LU0003_LXEUR_23364750_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,11534.58558,0.127060375,1,Other Securitization,0.125,1441.823197,0,0.054776305,78.97774715,0
1929086,PPSI 2005-WCW1 M3 MBS VAR 25.09.2035_1929086,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,93.69396882,0.068490565,1,Other Securitization,1,93.69396882,0,0.054776305,5.132209409,0
20113386_LU0003_LU0003_LXEUR,LU0003 CCMF 2020-1 A 1MGBP+60BP CX2KRC012_IE00B5ZR2157_GBP LU0003_LXEUR_20113386_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,1.347318524,32.23974858,32.23974858,Other Securitization,1,1.347318524,0,0.054776305,0.07380113,0
2644506_LU0003_LU0003_LXEUR,LU0003 RAST 2005-A14 A5 CMO FIX 5.500% 25.12.2035 LU0003_LXEUR_2644506_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,199.3276446,0.15296345,1,Other Securitization,1,199.3276446,0,0.054776305,10.91843185,0
12573239,SLMA 2003-11 A6 ABS VAR 15.12.2025_12573239,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,77.95196077,0.220887812,1,Other Securitization,0.125,9.743995097,0,0.054776305,0.533740047,0
14496201_LU0003_LU0003_LXEUR,LU0003 VENTR 2014-17A ARR CDO VAR 15.04.2027 LU0003_LXEUR_14496201_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1559.945463,0.041094026,1,Other Securitization,0.125,194.9931829,0,0.054776305,10.68100605,0
527749_LU0003_LU0003_LXEUR,LU0003 SAMI 2004-AR1 1A2 CMO VAR 19.03.2034 LU0003_LXEUR_527749_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,5.839286376,0.052059076,1,Other Securitization,0.134,0.782464374,0,0.054776305,0.042860507,0
839686_LU0003_LU0003_LXEUR,LU0003 MSM 2007-10XS A1 MBS FIX 6.000% 25.02.2037 LU0003_LXEUR_839686_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,D,6,30.06688852,0.317646203,1,Other Securitization,1,30.06688852,0,0.054776305,1.646953055,0
22623673,MABS 2006-FRE2 A1 MBS VAR 25.03.2036_22623673,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,688.6995374,0.068493201,1,Other Securitization,1,688.6995374,0,0.054776305,37.72441589,0
22554054_LU0003_LU0003_LXEUR,LU0003 HARVT 14X A1AR 3MEUR + 63BP CX26F20P5_IE00BMTRWY37_EUR LU0003_LXEUR_22554054_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,27.50278505,7.942271654,7.942271654,Other Securitization,1,27.50278505,0,0.054776305,1.506500941,0
22623665,WFRBS 2012-C7 AFL MBS VAR 15.06.2045_22623665,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,969.1360157,0.040869358,1,Other Securitization,0.125,121.142002,0,0.054776305,6.635711243,0
23914573_LU0003_LU0003_LXEUR,LU0003 ADAGI V-A ARR 3MEUR + 72BP 144A CMJF71379_IE00B0C18065_EUR LU0003_LXEUR_23914573_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,412.0371801,9.698326642,9.698326642,Other Securitization,1,412.0371801,0,0.054776305,22.56987423,0
4066804_LU0003_LU0003_LXEUR,LU0003 WFMBS 2007-7 A38 CMO 6.000% 25.06.37 LU0003_LXEUR_4066804_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,30.63212272,0.068494943,1,Other Securitization,1,30.63212272,0,0.054776305,1.677914496,0
870778,GSR 2005-AR6 1A1 CMO VAR 25.09.2035_870778,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,54.87458735,0.068493863,1,Other Securitization,0.134,7.353194705,0,0.054776305,0.402780836,0
