Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
19202938,EUROPEAN BK RECON & DEV GMTN VAR 19.08.2022_19202938,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,377.131121,0.883773066,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
19714580,AFRICAN DEVELOPMENT BANK GMTN VAR 15.12.2021_19714580,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,645.7353439,0.20821838,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
22857475,BANQUE OUEST AFRICAINE D REGS FIX 2.750% 22.01.2033_22857475,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,5649.189223,9.554650631,9.554650631,Supranational Bond,2,4.554650631,0,0,0,0,0,0.054776305,0,0
17901012,INTER-AMERICAN DEVEL BK VAR 15.03.2022_17901012,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,232.3749611,0.454704042,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
21244054,EUROPEAN INVESTMENT BANK 144A VAR 10.06.2022_21244054,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,5321.237619,0.692509063,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
24501432,INTL FINANCE COR VAR 30.06.2023_24501432,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,441.3910521,1.745363092,1.745363092,Supranational Bond,1,1.745363092,0,0,0,0,0,0.054776305,0,0
23207413_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP MTN VAR 13.01.2023 LU0003_LXEUR_23207413_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,6280.362183,1.285855903,1.285855903,Supranational Bond,1,1.285855903,0,0,0,0,0,0.054776305,0,0
19714580,AFRICAN DEVELOPMENT BANK GMTN VAR 15.12.2021_19714580,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1369.648618,0.20821838,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
20350200,EUROPEAN INVESTMENT BANK REGS VAR 10.06.2022_20350200,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,592.7429058,0.692509063,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
19202938,EUROPEAN BK RECON & DEV GMTN VAR 19.08.2022_19202938,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,177.8024603,0.883773066,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
8043286_LU0003_LU0003_LXEUR,LU0003 ASIAN DEVELOPMENT BANK VAR 15.12.2021 LU0003_LXEUR_8043286_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,12934.01267,0.208222911,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
14121289,EUROPEAN INVESTMENT BANK 144A VAR 19.01.2023_14121289,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,395.6724009,1.302304171,1.302304171,Supranational Bond,1,1.302304171,0,0,0,0,0,0.054776305,0,0
24139276_LU0003_LU0003_LXEUR,LU0003 EUROPEAN INVESTMENT BANK SRUNSEC REGS ZP6124819_IE00BDQZ6S97_USD LU0003_LXEUR_24139276_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1470.512445,1.331708516,1.331708516,Supranational Bond,1,1.331708516,0,0,0,0,0,0.054776305,0,0
23673151,INTER-AMERICAN DEVEL BK VAR 16.09.2022_23673151,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1487.621581,0.96046094,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
7480978,EUROPEAN INVESTMENT BANK FIX 2.125% 15.10.2021_7480978,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,586.8082635,0.041094608,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
17901012,INTER-AMERICAN DEVEL BK VAR 15.03.2022_17901012,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,109.555636,0.454704042,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
14812095,EUROPEAN BK RECON & DEV GMTN VAR 11.05.2022_14812095,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,127.7994615,0.610743254,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
24139276_LU0003_LU0003_LXEUR,LU0003 EUROPEAN INVESTMENT BANK SRUNSEC REGS ZP6124819_IE00BDQZ6S97_USD LU0003_LXEUR_24139276_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,3119.05699,1.331708516,1.331708516,Supranational Bond,1,1.331708516,0,0,0,0,0,0.054776305,0,0
8043286_LU0003_LU0003_LXEUR,LU0003 ASIAN DEVELOPMENT BANK VAR 15.12.2021 LU0003_LXEUR_8043286_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,27433.92126,0.208222911,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
22857475,BANQUE OUEST AFRICAINE D REGS FIX 2.750% 22.01.2033_22857475,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,11982.31487,9.554650631,9.554650631,Supranational Bond,2,4.554650631,0,0,0,0,0,0.054776305,0,0
14812095,EUROPEAN BK RECON & DEV GMTN VAR 11.05.2022_14812095,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,60.25240934,0.610743254,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
23173555_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.850% 10.02.2027 LU0003_LXEUR_23173555_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1839.509774,0.112327957,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
24139378_LU0003_LU0003_LXEUR,LU0003 EUROFIMA AX9662419_IE00BDQZ6S97_USD LU0003_LXEUR_24139378_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,162.2485876,0.44369551,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
