Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
640472,LAND BERLIN 226 FIX 4.250% 25.04.2022_640472,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,2088079.224,0.315069616,1,Local Authority Bond,1,1,0,0,0,0,0,0.133433171,0,0
24395316_LU0003_LU0003_LXEUR,LU0003 ERSTE ABWICKLUNGSANSTALT AX4142854_IE00B67B7N93_USD LU0003_LXEUR_24395316_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,132.5723638,0.172604779,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,1.458296002,0,0.063252303,0.092240581,0
24748907_LU0003_LU0003_LXEUR,LU0003 GEMEINSAME NRW KOMMUNEN EK9464810_IE00B5ZR2157_EUR LU0003_LXEUR_24748907_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,5.239013021,0.460273807,1,Local Authority Bond,1,1,0,0,0,0,0,0.063252303,0,0
26192936_LU0003_LU0003_LXEUR,LU0003 KOMMUNINVEST I SVERIGE BJ0671583_IE00BDQZ6S97_USD LU0003_LXEUR_26192936_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,2,340.286579,0.090411453,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,3.743152369,0,0.063252303,0.236763009,0
26192936_LU0003_LU0003_LXEUR,LU0003 KOMMUNINVEST I SVERIGE BJ0671583_IE00BDQZ6S97_USD LU0003_LXEUR_26192936_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,2,160.4317109,0.090411453,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,1.764748819,0,0.063252303,0.111624428,0
22281184,KOMMUNINVEST I SVERIGE REGS FIX 0.125% 20.07.2022_22281184,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,2,424.0058507,0.550376692,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,4.664064357,0,0.063252303,0.295012814,0
24395316_LU0003_LU0003_LXEUR,LU0003 ERSTE ABWICKLUNGSANSTALT AX4142854_IE00B67B7N93_USD LU0003_LXEUR_24395316_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,281.1950076,0.172604779,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,3.093145083,0,0.063252303,0.195648551,0
26193046_LU0003_LU0003_LXEUR,LU0003 NRW.BANK AQ9346794_IE00BDQZ6S97_USD LU0003_LXEUR_26193046_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,3663.351293,0.087671137,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,40.29686422,0,0.063252303,2.548869481,0
24748907_LU0003_LU0003_LXEUR,LU0003 GEMEINSAME NRW KOMMUNEN EK9464810_IE00B5ZR2157_EUR LU0003_LXEUR_24748907_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,2.46998816,0.460273807,1,Local Authority Bond,1,1,0,0,0,0,0,0.063252303,0,0
22281184,KOMMUNINVEST I SVERIGE REGS FIX 0.125% 20.07.2022_22281184,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,2,199.902048,0.550376692,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,2.198922528,0,0.063252303,0.139086915,0
26193046_LU0003_LU0003_LXEUR,LU0003 NRW.BANK AQ9346794_IE00BDQZ6S97_USD LU0003_LXEUR_26193046_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,1727.125757,0.087671137,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,18.99838333,0,0.063252303,1.201691506,0
