Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
482236_LU0003_LU0003_LXEUR,LU0003 CFAB 2002-2 1A5 MBS STEP 6.333% 25.04.2032 LU0003_LXEUR_482236_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,275.6099333,0.068494986,1,Type 1 Securitization,1,1,0.016,0,0.016,4.409758933,0,0.063252303,0.27892741,0
7069332_LU0003_LU0003_LXEUR,LU0003 POPLR 2006-D A3 MBS VAR 25.11.2036 LU0003_LXEUR_7069332_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,44.70953984,0.065009451,1,Type 1 Securitization,1,1,0.028,0,0.028,1.251867116,0,0.063252303,0.079183479,0
7051864_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH2 MV1 MBS VAR 25.01.2037 LU0003_LXEUR_7051864_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,179.2828517,0.067899793,1,Type 1 Securitization,1,1,0.016,0,0.016,2.868525626,0,0.063252303,0.181440853,0
1921342_LU0003_LU0003_LXEUR,LU0003 ARC 2004-1 A5 MBS VAR 25.10.2034 LU0003_LXEUR_1921342_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,57.44218122,0.068490265,1,Type 1 Securitization,1,1,0.016,0,0.016,0.9190749,0,0.063252303,0.058133604,0
16974894,TPMT 2017-5 A1 MBS VAR 25.02.2057_16974894,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,6.079075281,0.070326293,1,Type 1 Securitization,1,1,0.01,0,0.01,0.060790753,0,0.063252303,0.003845155,0
22554529,LBMLT 2005-2 M5 MBS VAR 25.04.2035_22554529,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,526.1364532,0.068494567,1,Type 1 Securitization,1,1,0.028,0,0.028,14.73182069,0,0.063252303,0.931821592,0
22554345,FN AL7090 MBS VAR 01.10.2037_22554345,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,33.38621182,0.12011738,1,Type 1 Securitization,1,1,0.01,0,0.01,0.333862118,0,0.063252303,0.021117548,0
13321999,TPMT 2017-4 A1 MBS FIX 2.750% 25.06.2057_13321999,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2523.777495,4.001912921,4.001912921,Type 1 Securitization,1,4.001912921,0.01,0,0.040019129,100.9993777,0,0.063252303,6.388443278,0
4165718_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WHQ1 M4 ABS FLOAT 25.03.35 LU0003_LXEUR_4165718_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,44.28831898,0.068494824,1,Type 1 Securitization,1,1,0.016,0,0.016,0.708613104,0,0.063252303,0.044821411,0
22554226,FHLT 2005-A M3 MBS VAR 25.01.2035_22554226,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,57.2726286,0.068492064,1,Type 1 Securitization,1,1,0.028,0,0.028,1.603633601,0,0.063252303,0.101433519,0
